Participant,TotalDuration,Score,Question,Seconds,Correct
Participant27,178.0,10,line,19.9,1
Participant27,178.0,10,bar,16.0,1
Participant27,178.0,10,area,14.6,1
Participant27,178.0,10,stackedarea,25.0,0
Participant27,178.0,10,scatter,16.2,1















